pageid,revid,user_rating,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,readability_consensus
4760195,55986806,Stub,4.82,18.6,18.2,24.54,24.4,12.31,46,13.0,11.6,12th and 13th grade
7227,56128907,FA,50.16,11.5,14.6,17.11,17.0,8.82,702,6.5,10.4,16th and 17th grade
3309927,56136952,Stub,57.27,8.8,13.0,14.61,12.0,9.78,39,5.0,7.6,9th and 10th grade
216855,56300891,FA,47.12,12.7,15.9,16.71,18.2,9.21,1208,10.5,11.6,10th and 11th grade
900511,56497834,GA,22.41,13.9,14.6,28.3,23.6,8.89,521,11.5,8.0,23th and 24th grade
4508471,56531697,Stub,13.28,17.4,17.1,26.11,25.6,12.2,56,10.5,11.6,25th and 26th grade
4701911,56532927,Stub,11.92,15.8,15.9,26.79,23.5,12.26,70,7.5,8.8,15th and 16th grade
2654753,56540100,B,44.75,11.5,14.6,15.49,14.5,8.81,386,11.0,9.2,14th and 15th grade
889116,56690067,FA,41.7,12.7,14.6,17.11,17.2,8.59,1031,12.0,10.4,17th and 18th grade
3216203,56742350,FA,18.35,15.4,15.9,27.9,24.8,9.82,585,17.5,9.6,9th and 10th grade
21302,56823632,FA,36.28,12.7,14.6,22.86,20.5,9.45,1286,15.0,9.2,14th and 15th grade
44883,56846831,FA,41.7,12.7,14.6,16.88,17.2,8.03,1275,12.5,10.4,12th and 13th grade
3359077,56966635,B,45.76,11.1,13.0,17.8,15.8,10.38,102,11.0,8.8,10th and 11th grade
15600,57142417,FA,51.18,11.1,13.0,16.82,16.5,8.97,1414,10.5,10.0,16th and 17th grade
50603,57210336,FA,37.3,12.3,14.6,19.6,17.7,8.8,2196,14.0,8.8,8th and 9th grade
3565644,57252044,GA,19.37,15.0,15.9,28.08,24.8,9.05,281,27.5,9.2,27th and 28th grade
31392,57296587,FA,44.75,11.5,14.6,19.03,17.3,9.22,846,12.5,9.2,14th and 15th grade
441606,57353793,B,56.59,11.1,14.6,13.93,15.4,8.6,341,9.0,11.2,8th and 9th grade
60112,57454429,FA,45.76,11.1,14.6,18.33,16.5,8.24,1485,14.5,8.8,14th and 15th grade
328397,57465783,Start,46.78,10.7,13.0,15.95,13.9,9.14,77,6.0,8.4,10th and 11th grade
2604100,57534222,Start,52.19,10.7,14.6,17.35,16.4,9.48,121,6.0,9.6,9th and 10th grade
52759,57543925,FA,32.22,14.2,15.9,21.24,20.9,8.92,1635,7.0,10.8,20th and 21th grade
4896496,57593305,FA,32.22,14.2,15.9,23.04,22.3,9.05,904,7.0,10.8,22th and 23th grade
1414673,57652849,Stub,40.69,13.1,17.1,21.59,21.3,10.41,41,14.0,10.8,10th and 11th grade
947219,57703707,FA,47.79,10.3,13.0,18.38,15.7,8.83,1150,17.0,8.0,16th and 17th grade
112677,57752207,Start,67.76,6.8,11.2,14.08,10.8,7.93,225,6.0,6.8,6th and 7th grade
5509553,57953018,Stub,-155.59,36.7,13.0,88.69,70.5,13.31,13,3.5,4.8,12th and 13th grade
165824,58002702,FA,50.16,11.5,13.0,15.26,15.9,8.19,1307,9.0,10.4,15th and 16th grade
1584018,58113063,Start,26.81,14.2,15.9,22.28,20.4,11.29,99,13.5,9.6,13th and 14th grade
1136575,58114692,FA,31.21,14.6,17.1,22.46,22.6,8.96,463,11.0,11.2,22th and 23th grade
349496,58302786,FA,59.64,9.9,13.0,15.61,15.3,8.9,566,12.0,10.0,9th and 10th grade
4683646,58459736,GA,52.19,10.7,13.0,19.38,18.1,8.71,403,18.0,9.6,17th and 18th grade
1642929,58463989,B,44.07,13.8,15.9,17.47,20.3,8.66,398,6.0,12.8,15th and 16th grade
1213767,58560625,Start,43.73,11.9,14.6,19.55,18.2,10.25,70,7.0,9.6,9th and 10th grade
4706508,58571722,B,47.12,12.7,15.9,20.66,21.2,9.53,230,16.5,11.6,20th and 21th grade
4925,58577720,FA,43.73,11.9,13.0,18.27,16.9,8.72,1016,14.5,9.6,16th and 17th grade
890593,58694557,Start,61.67,9.1,13.0,15.14,14.3,8.46,201,13.5,9.2,8th and 9th grade
3746,58795323,FA,51.18,11.1,14.6,18.22,17.8,8.88,2136,6.5,10.0,17th and 18th grade
4774392,58834251,Stub,25.8,14.6,15.9,23.03,21.4,11.66,45,11.0,10.0,15th and 16th grade
2307224,58907989,Stub,62.68,8.7,11.2,16.18,14.6,9.67,119,9.0,8.8,8th and 9th grade
33684,59033456,FA,59.64,9.9,13.0,17.0,16.7,8.98,943,10.5,10.0,9th and 10th grade
1529732,59044882,B,49.15,11.9,14.6,18.98,19.1,8.89,566,8.5,10.8,8th and 9th grade
804581,59057552,FA,50.16,11.5,14.6,15.9,16.4,8.49,1638,7.0,10.4,15th and 16th grade
32745,59286355,FA,40.69,13.1,14.6,18.28,18.4,8.77,1490,7.5,10.8,10th and 11th grade
426823,59329619,B,57.61,10.7,13.0,16.02,16.8,8.72,330,12.0,10.8,10th and 11th grade
2800283,59422766,B,37.64,14.2,17.1,25.07,25.2,9.93,208,16.5,12.0,16th and 17th grade
5637105,59609672,B,56.25,9.1,13.0,23.08,19.4,10.09,68,6.0,8.0,9th and 10th grade
3051575,59617663,FA,46.78,10.7,13.0,18.85,16.4,8.74,575,18.0,8.4,10th and 11th grade
348333,59625106,B,41.7,12.7,14.6,19.61,19.2,9.04,511,10.5,10.4,10th and 11th grade
5022700,59696410,B,23.43,13.5,14.6,32.01,26.3,11.02,147,9.0,7.6,14th and 15th grade
3671759,59925700,Stub,56.25,9.1,11.2,18.2,15.5,10.28,40,7.5,8.0,7th and 8th grade
3016271,60024142,FA,52.19,10.7,13.0,17.11,16.2,8.44,1181,16.5,9.6,16th and 17th grade
5674611,60104384,Stub,19.71,17.0,18.2,24.89,25.9,11.0,92,8.5,12.4,25th and 26th grade
3908149,60164818,Start,35.61,15.0,17.1,21.99,24.1,10.43,96,16.5,12.8,16th and 17th grade
1108485,60211914,B,19.71,17.0,20.3,40.73,38.5,9.27,911,8.5,12.4,8th and 9th grade
5689940,60304157,Start,59.64,9.9,13.0,12.47,12.8,9.18,227,7.5,10.0,9th and 10th grade
5285192,60405493,B,10.91,16.2,17.1,33.53,29.3,10.46,149,11.0,9.2,10th and 11th grade
2522771,60412777,B,33.58,15.8,15.9,17.53,21.0,9.58,335,20.5,13.6,20th and 21th grade
267008,60550282,FA,50.16,11.5,14.6,20.59,20.0,8.22,1359,6.0,10.4,20th and 21th grade
1540309,60693022,FA,51.18,11.1,14.6,18.45,18.0,8.53,910,13.0,10.0,17th and 18th grade
50943,60783277,B,38.66,13.8,14.6,17.76,18.8,8.89,1523,6.5,11.6,11th and 12th grade
155311,60903909,B,40.69,13.1,14.6,19.67,19.6,9.84,569,29.5,10.8,19th and 20th grade
333778,61144396,FA,60.65,9.5,13.0,14.68,14.3,8.45,600,8.5,9.6,9th and 10th grade
3844203,61191129,B,28.17,15.8,17.1,19.27,21.1,9.95,191,13.0,12.4,12th and 13th grade
329956,61224445,B,52.19,10.7,13.0,15.72,15.4,8.76,429,9.0,9.6,8th and 9th grade
5766507,61302176,B,45.76,11.1,13.0,19.89,17.6,9.25,316,12.0,8.8,11th and 12th grade
275536,61368308,FA,38.66,13.8,15.9,17.82,19.3,9.52,723,8.0,11.6,11th and 12th grade
4249148,61391101,Stub,6.5,15.8,15.9,32.88,26.8,11.0,65,8.0,7.6,15th and 16th grade
1631703,61443401,Stub,44.41,9.6,11.2,28.22,21.9,11.77,30,4.5,6.0,11th and 12th grade
4732472,61691820,Stub,45.09,13.4,15.9,20.83,22.6,10.12,105,16.5,12.4,22th and 23th grade
879180,61706292,FA,51.18,11.1,13.0,18.39,17.9,9.41,388,7.0,10.0,9th and 10th grade
3332998,61722549,Stub,22.41,13.9,14.6,30.74,25.8,9.8,71,19.0,8.0,30th and 31th grade
3231029,61723507,B,39.67,13.4,14.6,19.38,19.7,9.84,291,14.5,11.2,14th and 15th grade
3519778,61802717,FA,29.86,13.1,14.6,27.08,23.1,9.53,1241,8.0,8.4,7th and 8th grade
113735,61837344,B,46.1,13.0,15.9,16.37,18.3,9.37,671,9.0,12.0,15th and 16th grade
5811192,61858149,B,47.79,10.3,11.2,19.13,16.1,8.24,202,6.0,8.0,10th and 11th grade
1631439,61869972,B,52.53,12.6,14.6,14.92,18.1,8.48,943,26.0,12.8,14th and 15th grade
3435832,61915088,B,58.62,10.3,11.2,18.27,18.1,9.61,133,12.5,10.4,9th and 10th grade
1143433,61962293,FA,34.26,13.5,15.9,21.52,20.1,9.0,928,11.0,10.0,21th and 22th grade
5464369,62065088,Stub,36.28,12.7,14.6,24.54,21.7,10.3,80,8.5,9.2,8th and 9th grade
4689264,62117070,FA,25.8,14.6,15.9,23.61,21.8,9.71,1845,13.0,10.0,9th and 10th grade
1007525,62136438,Start,24.78,15.0,18.2,21.23,20.5,9.84,231,7.0,10.4,20th and 21th grade
584593,62158570,FA,35.27,13.1,14.6,20.36,19.0,9.08,709,10.5,9.6,9th and 10th grade
1184973,62158582,B,57.61,10.7,14.6,20.65,20.4,8.73,307,14.5,10.8,14th and 15th grade
655475,62178594,B,37.3,12.3,14.6,22.04,19.4,8.94,580,8.0,8.8,8th and 9th grade
673671,62188284,FA,61.67,9.1,13.0,15.2,14.1,8.2,1114,3.5,9.2,8th and 9th grade
1344726,62368049,FA,45.76,11.1,13.0,19.02,16.9,9.29,874,12.5,8.8,12th and 13th grade
338937,62385076,B,49.15,11.9,13.0,15.03,15.9,8.57,675,19.0,10.8,15th and 16th grade
5749898,62468380,B,36.28,12.7,15.9,21.75,19.6,9.82,341,30.5,9.2,9th and 10th grade
43667,62515129,FA,43.73,11.9,14.6,20.94,19.5,9.18,1583,18.0,9.6,9th and 10th grade
37142,62523094,Start,59.64,9.9,13.0,16.24,16.2,9.41,208,10.5,10.0,9th and 10th grade
721483,62588948,Stub,16.32,16.2,19.3,29.0,27.0,11.72,29,12.5,10.4,12th and 13th grade
1925204,62607703,GA,56.59,11.1,14.6,17.47,18.4,8.5,716,19.5,11.2,19th and 20th grade
604198,62680091,B,24.78,15.0,17.1,25.18,24.0,9.71,1072,13.0,10.4,12th and 13th grade
221377,62807436,FA,47.12,12.7,14.6,16.71,18.4,9.13,733,26.5,11.6,26th and 27th grade
890141,62829951,FA,54.22,9.9,13.0,20.07,17.7,8.37,534,29.0,8.8,9th and 10th grade
35023,62870715,Start,78.25,4.8,8.8,13.02,9.4,8.18,111,2.5,6.0,8th and 9th grade
197225,62872377,B,43.73,11.9,14.6,21.06,19.4,10.21,971,8.5,9.6,9th and 10th grade
1660300,62885119,Stub,60.31,7.6,11.2,21.16,16.4,8.73,17,5.0,6.4,8th and 9th grade
4522015,62915446,B,96.52,4.0,11.2,24.82,21.8,6.62,417,12.0,8.8,11th and 12th grade
130361,62946819,Start,80.28,4.1,8.8,12.9,9.0,7.34,78,4.5,5.2,8th and 9th grade
4806056,62964553,Start,59.3,8.0,8.8,18.26,14.4,7.92,84,6.0,6.8,7th and 8th grade
621004,62993533,FA,51.18,11.1,13.0,15.49,15.5,7.99,1063,6.5,10.0,15th and 16th grade
420985,63026736,B,71.14,7.6,11.2,11.48,10.8,7.46,750,28.0,8.8,10th and 11th grade
1281607,63036632,B,60.65,9.5,13.0,14.16,13.9,8.01,585,8.5,9.6,9th and 10th grade
2580876,63087321,Stub,3.46,17.0,18.2,32.42,28.0,11.03,51,8.0,8.8,27th and 28th grade
162248,63119337,FA,47.79,10.3,13.0,19.2,16.3,8.66,1637,12.0,8.0,12th and 13th grade
3421031,63165809,FA,35.27,13.1,14.6,18.68,17.7,9.01,1692,14.5,9.6,14th and 15th grade
331219,63173543,FA,56.59,11.1,14.6,14.86,16.0,8.92,915,12.0,11.2,14th and 15th grade
300548,63187406,FA,42.72,12.3,14.6,18.62,18.0,9.0,1787,18.5,10.0,18th and 19th grade
2905929,63249738,Stub,73.17,6.8,8.8,17.68,14.9,9.29,28,15.5,8.0,8th and 9th grade
750464,63358789,FA,46.1,13.0,15.9,14.86,17.2,9.14,532,12.0,12.0,11th and 12th grade
53869,63465167,FA,53.21,10.3,13.0,17.69,16.3,8.54,811,12.5,9.2,12th and 13th grade
5433334,63550645,GA,34.26,13.5,15.9,19.32,18.7,8.13,1241,18.0,10.0,18th and 19th grade
1614606,63582854,B,59.64,9.9,13.0,13.81,14.1,8.9,352,7.5,10.0,9th and 10th grade
3030449,63901174,Stub,38.66,13.8,14.6,19.21,20.2,9.49,36,12.5,11.6,11th and 12th grade
5376661,63905162,Stub,35.27,13.1,15.9,26.45,23.8,9.79,32,11.0,9.6,9th and 10th grade
5396224,64023878,GA,36.63,14.6,15.9,18.69,21.0,9.54,212,12.5,12.4,12th and 13th grade
5816193,64044046,Stub,12.94,15.4,17.1,36.19,30.6,12.4,51,11.0,8.4,30th and 31th grade
2343654,64099321,FA,51.18,11.1,14.6,19.49,18.5,8.69,559,10.5,10.0,18th and 19th grade
2569571,64102143,Start,40.34,11.1,13.0,24.41,20.3,10.08,91,8.0,7.6,7th and 8th grade
311455,64104520,FA,56.59,11.1,13.0,15.79,17.0,8.69,611,14.0,11.2,16th and 17th grade
216601,64225105,FA,38.66,13.8,15.9,17.12,18.4,8.86,702,14.0,11.6,13th and 14th grade
250527,64225971,FA,43.73,11.9,15.9,25.87,23.3,8.77,424,16.5,9.6,25th and 26th grade
84625,64314793,FA,60.65,9.5,11.2,15.03,14.7,7.7,1182,28.0,9.6,9th and 10th grade
1666594,64327770,Stub,49.82,9.5,13.0,22.61,18.2,10.6,38,7.0,7.2,10th and 11th grade
79394,64377420,Start,3.46,17.0,17.1,35.61,30.5,10.9,128,7.0,8.8,16th and 17th grade
6007334,64382150,Stub,51.52,13.0,14.6,21.59,24.0,11.59,47,16.5,13.2,12th and 13th grade
1239249,64392153,Stub,24.78,15.0,17.1,19.49,19.3,10.99,26,13.0,10.4,12th and 13th grade
4804597,64440305,FA,36.28,12.7,14.6,24.19,21.7,8.13,2167,6.0,9.2,21th and 22th grade
4917877,64463831,B,47.12,12.7,14.6,20.66,21.2,10.4,85,9.0,11.6,20th and 21th grade
5325815,64617311,FA,33.24,13.8,15.9,23.78,22.7,9.16,558,20.0,10.4,23th and 24th grade
2242951,64628619,Start,56.25,9.1,13.0,13.62,11.7,8.73,54,7.0,8.0,8th and 9th grade
216663,64653072,FA,44.07,13.8,15.9,16.37,19.2,9.4,1433,14.5,12.8,15th and 16th grade
99338,64656925,B,48.13,12.3,14.6,16.37,17.5,9.55,373,7.5,11.2,17th and 18th grade
418065,64679346,FA,17.34,15.8,15.9,27.55,25.2,9.36,1919,12.5,10.0,15th and 16th grade
158835,64714172,FA,44.75,11.5,14.6,19.14,17.4,8.66,726,12.5,9.2,8th and 9th grade
4581345,64724846,GA,35.27,13.1,14.6,23.44,21.3,9.19,298,13.0,9.6,12th and 13th grade
3407813,64725010,FA,25.8,14.6,14.6,25.52,23.4,8.79,488,14.0,10.0,14th and 15th grade
4040947,64746815,B,38.66,13.8,17.1,22.17,22.8,9.29,485,12.0,11.6,11th and 12th grade
5975244,64755345,Stub,34.93,11.1,11.2,27.24,21.2,9.45,11,6.5,6.4,11th and 12th grade
112476,64790232,Start,69.79,6.0,11.2,16.16,12.1,8.07,133,15.0,6.0,5th and 6th grade
33816,64817398,FA,32.22,14.2,15.9,21.41,21.1,9.41,1828,6.5,10.8,21th and 22th grade
1684112,64819026,Stub,43.06,14.2,13.0,19.21,22.1,9.86,52,13.5,13.2,13th and 14th grade
2182523,64849955,B,60.65,9.5,11.2,16.65,15.9,8.71,210,53.5,9.6,9th and 10th grade
113727,64856919,FA,56.25,9.1,13.0,21.05,17.7,8.75,1172,6.0,8.0,8th and 9th grade
181413,64901917,B,48.13,12.3,13.0,15.84,16.7,9.29,434,7.5,11.2,12th and 13th grade
945166,64930886,Start,38.32,18.1,19.3,16.61,26.0,9.74,117,13.5,18.4,18th and 19th grade
5107856,65010230,Stub,36.28,12.7,13.0,24.71,22.0,11.12,121,30.5,9.2,12th and 13th grade
5504166,65016997,Stub,-12.44,19.0,18.2,49.7,41.2,12.65,25,9.0,8.4,8th and 9th grade
53273,65125133,FA,31.89,12.3,13.0,24.53,20.4,8.83,2066,7.0,7.6,12th and 13th grade
45967,65132961,B,54.56,11.9,14.6,18.57,20.3,9.22,614,8.0,12.0,11th and 12th grade
21231,65146983,FA,49.15,11.9,14.6,17.75,18.1,8.75,1231,7.5,10.8,17th and 18th grade
1800165,65209782,Start,40.69,13.1,14.6,16.83,17.5,10.11,133,9.0,10.8,10th and 11th grade
865416,65230826,FA,49.15,11.9,14.6,17.53,18.0,9.31,578,8.5,10.8,17th and 18th grade
454915,65236306,B,71.14,7.6,11.2,13.98,13.1,8.53,424,7.5,8.8,8th and 9th grade
4086027,65292089,Stub,32.22,14.2,15.9,22.4,21.7,9.68,147,11.0,10.8,10th and 11th grade
3069251,65324354,Stub,5.49,16.2,15.9,40.65,33.6,12.8,24,8.0,8.0,7th and 8th grade
20709,65333973,FA,46.1,13.0,14.6,17.35,19.1,9.3,596,28.0,12.0,27th and 28th grade
78455,65343531,B,14.29,17.0,18.2,34.29,32.1,10.68,632,22.0,11.2,10th and 11th grade
10073,65361925,B,43.73,11.9,15.9,18.39,17.5,9.46,584,12.0,9.6,11th and 12th grade
691518,65429357,B,58.62,10.3,13.0,14.45,15.1,8.75,117,12.5,10.4,12th and 13th grade
364573,65558917,B,47.79,10.3,13.0,23.08,19.4,9.76,304,7.5,8.0,7th and 8th grade
2769917,65596366,Stub,66.74,7.2,13.0,17.68,14.3,10.88,23,6.0,7.2,7th and 8th grade
3369300,65617674,Stub,55.24,9.5,13.0,17.51,15.5,9.38,69,7.0,8.4,9th and 10th grade
2621918,65629027,Stub,36.28,12.7,15.9,21.52,19.4,10.08,85,10.5,9.2,10th and 11th grade
2199842,65660528,Stub,1.77,19.7,21.2,27.79,28.5,11.25,54,13.5,12.8,12th and 13th grade
2223484,65780529,FA,53.21,10.3,13.0,16.19,15.2,8.34,820,7.5,9.2,9th and 10th grade
74326,65815154,B,41.7,12.7,15.9,19.14,19.0,9.16,530,23.0,10.4,18th and 19th grade
