pageid	revid	ordered_class
4732472	61691820	Stub
879180	61706292	FA
3332998	61722549	Stub
3231029	61723507	B
16894	61725110	FA
455299	61793218	B
3519778	61802717	FA
113735	61837344	B
5811192	61858149	B
1631439	61869972	B
3435832	61915088	B
1143433	61962293	FA
7450318	61984443	B
22926	62041891	FA
5464369	62065088	Stub
4689264	62117070	FA
1007525	62136438	Start
584593	62158570	FA
1184973	62158582	B
655475	62178594	B
673671	62188284	FA
1344726	62368049	FA
338937	62385076	B
51983	62458246	FA
5749898	62468380	B
43667	62515129	FA
37142	62523094	Start
721483	62588948	Stub
31338	62598411	FA
1925204	62607703	GA
4335	62611329	FA
604198	62680091	B
221377	62807436	FA
890141	62829951	FA
52139	62832174	B
35023	62870715	Start
197225	62872377	B
1660300	62885119	Stub
4522015	62915446	B
1565443	62933786	B
130361	62946819	Start
4806056	62964553	Start
4689460	62975699	B
621004	62993533	FA
420985	63026736	B
1281607	63036632	B
978203	63053266	FA
2580876	63087321	Stub
162248	63119337	FA
3421031	63165809	FA
331219	63173543	FA
300548	63187406	FA
2905929	63249738	Stub
103246	63273028	FA
750464	63358789	FA
5935894	63435678	Stub
53869	63465167	FA
4637590	63515173	FA
514897	63523845	FA
5433334	63550645	GA
1614606	63582854	B
2082536	63681973	B
3030449	63901174	Stub
5376661	63905162	Stub
158986	63908561	B
5396224	64023878	GA
5816193	64044046	Stub
2343654	64099321	FA
2569571	64102143	Start
311455	64104520	FA
3298163	64128199	FA
216601	64225105	FA
250527	64225971	FA
84625	64314793	FA
11370	64317303	FA
1666594	64327770	Stub
79394	64377420	Start
6007334	64382150	Stub
1239249	64392153	Stub
4804597	64440305	FA
4917877	64463831	B
5892561	64573774	GA
73259	64577919	FA
155452	64578226	FA
5325815	64617311	FA
2242951	64628619	Start
216663	64653072	FA
99338	64656925	B
160112	64661347	FA
418065	64679346	FA
5042951	64690771	FA
158835	64714172	FA
4581345	64724846	GA
3407813	64725010	FA
4040947	64746815	B
5975244	64755345	Stub
112476	64790232	Start
33816	64817398	FA
1684112	64819026	Stub
1937992	64822495	B
2182523	64849955	B
113727	64856919	FA
335375	64884310	FA
241128	64901450	FA
181413	64901917	B
78249	64920932	FA
945166	64930886	Start
1669998	64971905	FA
417878	65004762	FA
5107856	65010230	Stub
5504166	65016997	Stub
378727	65026680	FA
203407	65045669	FA
168459	65119182	FA
53273	65125133	FA
45967	65132961	B
21231	65146983	FA
1800165	65209782	Start
3354295	65219899	B
865416	65230826	FA
454915	65236306	B
4086027	65292089	Stub
3069251	65324354	Stub
20709	65333973	FA
78455	65343531	B
10073	65361925	B
18955303	65368364	FA
691518	65429357	B
253225	65514528	B
364573	65558917	B
2769917	65596366	Stub
3369300	65617674	Stub
2621918	65629027	Stub
2199842	65660528	Stub
552586	65681092	FA
1698906	65764299	B
2223484	65780529	FA
74326	65815154	B
51298	65820852	B
5044502	65849260	FA
2067	65852652	FA
526554	65884228	B
700635	65942049	B
383395	65962491	FA
309749	66060428	B
7845	66118672	B
1199037	66123513	FA
413261	66138329	B
252630	66141436	FA
5824870	66152253	Start
385925	66275963	FA
340963	66319857	B
4052669	66332227	B
1019550	66362806	B
3380501	66462894	B
16433	66474434	B
4642205	66496854	Start
950311	66514920	FA
1955762	66529248	Start
4072359	66538031	FA
6166036	66545160	Stub
5956433	66565580	Stub
76747	66589041	B
26193	66595050	B
295701	66598764	B
2597876	66625187	B
269055	66627647	FA
16844	66634557	B
51255	66639332	B
426193	66668936	B
4959339	66678640	Stub
46688	66684344	FA
52755	66684836	FA
102952	66698066	FA
923072	66732599	B
14227	66736130	FA
52757	66757140	FA
10245	66789125	FA
82505	66791214	B
3569076	66793265	Start
47387	66817540	FA
30874226	66830702	B
4113000	66939098	Stub
19722	66976152	B
4349389	67020714	FA
2274247	67029453	FA
1803812	67031947	Stub
6212852	67038903	Stub
25406	67120089	FA
847652	67147116	B
46793	67148214	FA
1197020	67176820	B
6215165	67246726	Stub
3057580	67298969	B
13490464	67339548	FA
5809887	67370347	GA
795192	67384119	B
805852	67393077	Stub
5326809	67404729	B
6794	67442129	FA
382574	67452406	Start
5587289	67452948	B
4894051	67472666	Stub
203437	67518635	B
13700	67561381	B
199665	67576097	FA
4373885	67767089	Stub
141738	67770144	FA
2056597	67848301	Start
1924467	67955651	B
30041	67979389	FA
362701	68018847	Start
23251	68028572	B
3588132	68033856	GA
82780	68111635	FA
89074	68113755	FA
713577	68154886	B
6318288	68257601	Stub
1874744	68304907	FA
34340	68314553	FA
4443105	68314880	B
156486	68330103	FA
130222	68335389	Start
18933424	68343128	FA
484125	68343759	GA
27417455	68423468	B
5517256	68429685	FA
5850472	68479444	Start
80646	68490274	FA
18023	68504594	B
6342887	68563555	Stub
4491403	68566881	Start
53332	68568727	FA
948620	68573435	Start
2117245	68575947	B
30040	68589417	FA
13256	68618049	FA
1820218	68633813	FA
400662	68647789	B
11278	68662257	B
177032	68678494	FA
4411623	68755653	Stub
4143109	68835520	FA
854294	68835522	FA
7012	68835535	FA
2053685	68835939	Start
19673269	68887498	FA
301737	68894292	FA
18950650	68900062	B
13156	68946505	FA
205966	68952587	B
27790	68962711	FA
6370701	69006255	Stub
488994	69009877	Stub
1966395	69029714	B
145492	69031365	FA
359312	69052505	B
30467	69111151	FA
6614	69330586	FA
4049	69355578	FA
4962008	69410900	Stub
2721791	69411892	FA
2127621	69449685	B
1614414	69472883	B
181820	69479924	B
4421383	69523205	FA
6456641	69610029	Stub
177671	69621840	B
24746943	69655726	B
268260	69665144	B
407897	69668727	Start
656087	69691154	B
6467690	69716265	Stub
4716223	69774490	Stub
1750723	69813386	Start
267848	69816335	B
264310	69955884	FA
224443	69971790	FA
5012175	69971829	FA
458227	69976810	B
5254502	70318693	B
223318	70337987	B
1372200	70339124	FA
18952719	70344335	FA
1251346	70401455	Start
1317736	70405433	B
3119904	70410527	Start
48664	70413660	FA
573888	70433849	FA
46991	70464222	FA
3517957	70468766	B
186729	70481369	FA
18952631	70490918	FA
2713539	70533218	Stub
5085117	70566190	Stub
3053342	70638903	Stub
2005829	70640710	Stub
76313	70654696	B
4375267	70666944	Start
43271	70667226	FA
40225	70670890	FA
4091662	70699382	GA
47063	70754483	FA
3286920	70759109	Stub
865782	70848079	B
2749927	70863068	Stub
5951	70868047	FA
6243302	70928504	Start
543848	70929014	FA
5281996	70949401	Start
649232	71042471	B
380296	71055788	B
1221167	71058477	Start
5783379	71077096	FA
7840	71106361	FA
999875	71140697	FA
5991302	71190400	Stub
18943833	71195875	GA
1852878	71220694	Start
2543629	71248805	Start
46852	71269153	FA
3291243	71318908	Stub
270185	71422603	FA
5442403	71434953	Stub
1749066	71443406	Start
599923	71615555	B
426047	71657471	FA
18717883	71726577	B
2991510	71784260	B
2471279	71791721	B
15601	71829487	B
6640975	71847981	Stub
5634622	71851667	B
2686761	71866791	B
1790734	71909943	FA
3455880	72028569	B
1352651	72044974	Stub
475370	72084691	FA
780886	72122222	Stub
6714242	72150784	Start
23048	72184350	GA
19588	72200334	GA
38130	72217535	B
1385918	72232400	B
2262897	72234427	B
1665978	72253003	FA
6474287	72265005	Start
12866	72301464	FA
37556	72301871	FA
1930488	72310210	Stub
2368408	72364378	FA
2592906	72366927	FA
4829979	72388831	FA
81141	72401652	GA
1903999	72434888	FA
1344043	72451514	Start
1213126	72454260	B
4339281	72464902	B
240951	72503532	B
193002	72509074	B
6880483	72570830	FA
165813	72587768	FA
5667662	72597826	Start
2515307	72613154	Stub
1667697	72639310	FA
2174	72652140	FA
5610927	72655445	FA
30859078	72698598	Start
1849824	72711458	FA
6616683	72726289	FA
3113151	72734972	FA
11388236	72746889	FA
21615	72782549	FA
205928	72813035	FA
36812	72820965	FA
2216106	72825666	Start
292340	72826038	Start
1225609	72830604	Stub
4211292	72841435	FA
869237	72867524	Stub
666820	72881585	FA
564779	72888973	B
485313	72894226	B
5517261	72901200	FA
190770	72917821	FA
189351	72918354	FA
519839	72922095	B
2470335	72942587	B
1290418	72974184	Stub
23416994	73025718	FA
30864600	73050906	B
2527313	73086964	B
1843033	73102349	Stub
24982	73166176	B
26532	73216741	FA
46542	73222156	B
1170263	73239776	B
1433599	73247572	B
258686	73274517	B
409576	73282644	FA
4283645	73302818	B
5207662	73360354	FA
6808803	73369204	Stub
2541590	73405775	Stub
1936139	73412115	FA
1872697	73419533	B
485670	73435157	FA
195243	73437768	B
1847004	73441180	Stub
1151822	73447646	B
752559	73476564	FA
368644	73493361	B
58991	73530669	B
40295	73535867	B
4774022	73552584	B
19499	73579802	FA
2476083	73614958	Stub
6832346	73667536	Stub
1730453	73672309	B
1756898	73690100	B
1367	73691794	FA
1065294	73702010	B
1298644	73824508	B
2989193	73870992	B
4923105	73943892	Stub
18426653	73968879	FA
6831514	73974651	Stub
19955	73976502	FA
9257	74008649	FA
6094957	74034814	Stub
1498884	74052649	Start
5606945	74087200	GA
2878298	74114372	Stub
1591079	74183861	FA
502547	74199631	Stub
5517291	74209025	FA
2318646	74298919	Stub
6641	74317254	FA
1924767	74392288	B
3832877	74411164	B
2622560	74450018	B
147019	74468796	FA
1996313	74509543	B
137471	74563243	B
232556	74596094	B
200836	74597296	B
1224756	74772727	GA
20187	74803577	B
123561	74850523	Start
6932481	74944618	Stub
433310	74984997	FA
6550517	74987243	B
5292439	74992898	Start
3442575	75018969	Stub
1130008	75160287	B
5815490	75207453	Stub
9763	75249273	FA
1182564	75266749	FA
407483	75298981	FA
5413	75355740	B
1866305	75368252	B
2782602	75407911	B
451593	75436173	Stub
99050	75438387	B
693120	75473660	B
2348640	75492796	Stub
1687518	75524465	Start
278492	75533743	FA
4734635	75555174	Stub
24451	75574724	FA
1371211	75577994	Start
2483209	75631192	B
5289796	75654177	B
17926	75675756	FA
25740	75709332	B
3627846	75759233	B
6995579	75779871	Stub
49728	75785146	FA
2885062	75788265	Stub
285510	75789395	B
486527	75834560	FA
866485	75893177	FA
2442032	75974371	B
2456311	76040610	Start
7016012	76044907	Stub
416764	76071715	B
2811087	76126179	Stub
1767455	76130506	Stub
674892	76149189	GA
7026348	76233963	Stub
1222867	76336055	B
93759	76366125	B
4677777	76393925	B
146595	76396920	FA
217473	76423630	B
162279	76424401	FA
5815215	76534615	Stub
1769852	76660065	Start
2739726	76670298	Start
55188	76701503	FA
1363014	76716288	B
2273629	76757947	Stub
231443	76814477	FA
4156765	76827793	Stub
1201340	76840869	Stub
1372338	76862088	Start
5776616	76864486	Stub
5517329	77071943	FA
7003542	77086684	Stub
7101632	77095046	B
31468	77121219	B
994429	77131369	B
2287636	77173851	B
12737	77221810	B
295664	77225491	B
7111543	77232138	Stub
7007832	77233948	GA
2535162	77243155	Stub
48877	77245045	B
41339142	77274526	B
3094114	77282806	GA
4146612	77301540	GA
2705562	77345507	Start
4555239	77366076	Stub
7123322	77371925	Stub
2630897	77408371	GA
5517284	77505125	FA
663	77512906	FA
2669315	77514782	FA
1143535	77519283	B
71792	77523622	FA
82341	77553840	B
42029	77582327	FA
3520072	77632327	Stub
13820	77678404	GA
2838314	77698745	Start
1896897	77708240	B
1314475	77715440	B
6824373	77719071	B
3725744	77724245	Start
3787486	77758483	Stub
1442763	77795377	FA
685715	77824025	B
13255	77824200	FA
728821	77824663	GA
25432	77858400	FA
54184	77954052	Start
216661	78046711	Start
4022916	78051543	Stub
3251551	78068806	Start
5338743	78226749	Start
3186132	78317458	B
5069216	78346133	Stub
196486	78359964	B
2893507	78365345	FA
1529481	78389972	Stub
2200509	78406028	Start
19604228	78422849	B
771734	78437278	GA
98927	78458329	FA
7176774	78480685	Stub
4789109	78498588	FA
192358	78559161	Start
17885	78611231	B
474908	78698793	GA
313865	78704662	B
318019	78736270	B
3702462	78806846	B
1306774	78815116	FA
135825	78824077	B
3625569	78844814	Stub
895424	78862644	FA
2282404	78879825	FA
548711	78884778	FA
399996	78910603	B
2086851	78923427	Start
23535	78946407	FA
6789961	78950615	Stub
12666	78979694	B
296270	79020134	GA
4572521	79122261	Start
436890	79124509	B
31607	79132269	B
7260805	79135737	B
1720950	79152749	FA
6203962	79169779	Stub
469028	79233102	B
7270640	79264490	Stub
244774	79272310	B
1109927	79331738	B
3859706	79341312	B
6859311	79355355	Stub
14814	79373763	B
2029496	79374157	Stub
5498794	79389232	Stub
433738	79392231	B
3570876	79400123	Stub
1080994	79436835	FA
4902447	79450449	B
4102739	79488243	Stub
5517265	79506182	FA
682840	79511506	B
108101	79534139	Start
759701	79554058	B
5545067	79582025	Stub
7210171	79583973	FA
7303840	79678214	Stub
6632738	79709851	Stub
6955468	79719679	GA
955019	79752082	Start
2878274	79789301	Stub
622835	79950563	B
648954	79954050	B
491767	79965761	B
2953140	80032893	FA
124468	80071292	B
613343	80097811	FA
5615012	80110349	B
1259676	80165701	B
61322	80181840	FA
1486360	80231608	Stub
7099334	80232612	Start
1088597	80249481	B
6035060	80288872	Stub
1165118	80310585	Stub
1003950	80312381	Stub
56656	80326915	FA
476147	80396071	Start
7921	80412872	GA
5673419	80443391	Stub
866740	80469902	B
592136	80478175	FA
1423284	80594744	FA
1442734	80596929	B
3688355	80618128	B
38136	80643303	B
7347399	80647691	B
508396	80702995	FA
5900723	80727655	Start
598470	80731596	B
3761756	80765258	B
8262427	80915119	B
17951	80995715	B
1458237	81032693	B
204137	81046007	B
2530467	81077704	B
13758	81091764	B
4072664	81135467	Stub
4678496	81146059	Stub
6872823	81176513	Start
2320150	81316684	B
5200013	81327949	B
46605	81365486	FA
32737	81365850	B
699123	81433381	B
26262	81587440	FA
5593126	81761299	Stub
7468071	81771401	B
4001265	81777874	Stub
48405	81798603	FA
7120949	81805357	Stub
1356311	81807728	Start
7406180	81845183	Start
115452	81871251	Start
2200400	81878162	GA
5258560	81904841	B
2613814	81965296	B
147969	82059980	Start
1402627	82085393	FA
3020925	82148610	FA
63744	82184883	B
7491581	82229131	B
2372757	82258749	FA
188778	82299552	Start
1849799	82309260	FA
315366	82315034	B
68090	82325161	B
46377	82340586	FA
298184	82390885	B
3969	82396479	FA
4277081	82398657	FA
33731132	82465777	FA
18947965	82560218	B
284510	82604375	B
1107288	82630447	B
1059776	82639633	B
7533114	82655620	Stub
184170	82670723	B
4109151	82726663	Start
27848	82729783	B
207352	82757428	B
179513	82787620	FA
23431379	82859558	B
903485	82931558	FA
6512202	82934142	Start
310192	82977374	B
3465579	82994422	Start
986791	82999758	Stub
2269319	83100054	FA
39339	83169809	B
3053877	83191861	Start
5422813	83200199	Stub
145498	83229906	B
536009	83270356	B
417493	83315009	FA
5580715	83323272	B
7544729	83339935	B
1231284	83423887	Start
5270311	83453226	FA
5311798	83549514	Stub
436870	83644022	B
894182	83647569	Stub
4240572	83662483	B
3518068	83712482	B
225490	83776148	B
3010788	83816874	Stub
974786	83819911	B
604522	83861382	B
26689	83872793	FA
1954811	83982638	Start
7630466	84005003	B
1443445	84069697	Start
4817128	84098719	Start
5964335	84102958	B
284507	84111872	B
48644	84147555	FA
5389445	84224551	B
16547	84242134	B
6622582	84244089	Stub
3661180	84312929	B
7470731	84332326	B
6316261	84355459	Stub
1735114	84364490	Stub
53855	84410846	B
7674475	84453296	Stub
3354422	84467074	B
2727876	84517684	B
18739	84553509	FA
58586	84563736	B
4955848	84573855	Start
97778	84594310	B
101359	84622154	B
752171	84691705	B
7695922	84712782	Stub
7563954	84748810	FA
846173	84757895	Start
4706581	84777055	FA
3530359	84778921	FA
128588	84795967	Start
420159	84846722	B
2960681	84900463	B
4567404	84900973	Stub
1296559	84924817	FA
1803856	84936512	B
3707800	84951032	Stub
7011007	84967998	FA
2412731	84972255	Start
64107	85029998	B
3944674	85035005	B
1276176	85035925	B
1424188	85060969	FA
70318	85082392	FA
2721404	85118686	B
475651	85180195	B
715164	85196158	B
34040	85225610	FA
56483	85247826	FA
6841099	85255974	FA
19572217	85261136	FA
7993134	85277851	FA
1270750	85285596	FA
7743847	85295476	Start
23749	85321798	FA
4142888	85360046	Stub
43405	85413086	FA
3562622	85523983	Stub
7683049	85638486	B
1624832	85676755	B
5559799	85677455	Stub
2572558	85726558	B
45342	85735460	B
5894737	85800559	B
375366	85812879	B
546560	85857664	B
30647	85858804	B
5630231	85870176	Start
1401663	85911336	Start
7795231	85918977	Stub
5622818	85929554	B
7796831	85941576	Stub
13032	86039535	Start
1237473	86068599	GA
4021127	86108898	Start
8121	86125405	B
7807762	86160593	Stub
2292736	86233650	Start
6616898	86238603	Stub
614794	86247047	Stub
1178108	86260555	Start
6169866	86271299	Start
5042916	86292100	FA
5782927	86326569	B
4238111	86403277	Start
70997	86475483	Start
3569761	86490456	Start
1448709	86514790	FA
230361	86584039	FA
13026	86604225	B
3791115	86626551	B
5622571	86658321	Start
206947	86661390	FA
4050227	86720050	Stub
25239	86758318	B
1801378	86812067	B
6436292	86847477	Stub
7767019	86866338	Start
218800	86895110	B
120211	86931528	B
8210537	86978483	FA
639614	87007657	B
144810	87014402	FA
742834	87065387	FA
4719449	87170442	FA
13346693	87171157	Start
1698613	87181175	Stub
1352117	87206275	Start
4538064	87237670	Start
63517	87249475	FA
5548884	87266991	Start
7800136	87295089	GA
2251923	87345658	FA
36917	87356733	FA
790106	87358159	FA
378231	87387156	B
201877	87391543	B
877914	87407748	B
239076	87412178	FA
7468121	87433756	B
7586721	87520504	B
448686	87537600	B
7137701	87551546	Start
1961063	87558672	Stub
2105962	87563950	B
6701524	87614272	GA
4188548	87662674	FA
336685	87691654	B
7644315	87693528	B
922	87705473	B
40172	87754037	B
3392617	87799120	B
7938414	87815605	Stub
400334	87825020	Start
204967	87830795	B
1822930	87868754	B
4230056	87872780	B
33426	87940064	B
1400808	87978142	B
6393260	87995480	FA
286880	88012041	B
3072711	88150934	B
4183397	88197119	Start
456292	88219724	GA
4118484	88293774	Stub
7501317	88309724	FA
59414	88325323	B
56126	88379059	B
2831669	88402856	Stub
7986849	88464949	Start
5973200	88524380	Start
3067106	88565857	B
82305	88653476	B
254713	88703661	B
8009039	88729598	Stub
122068	88730415	Start
56635	88733960	B
2610304	88756376	FA
3462344	88764601	Stub
341356	88768552	FA
5478840	88791546	FA
481605	88876883	GA
1691901	88877295	Start
30718	88881352	B
3851778	88881914	Start
80900	88920693	FA
8025218	88924813	Stub
4001878	88961087	B
1389926	89062968	Start
4353272	89128495	FA
3183656	89165970	Stub
2794281	89188269	B
1603438	89197323	FA
457239	89204065	B
7294971	89364429	Start
2686607	89371860	B
2646426	89374300	B
8065115	89413078	Start
2487758	89419062	FA
1277545	89424208	B
2273	89428548	B
548896	89431221	B
152994	89433602	FA
281603	89442859	B
621334	89534682	B
209131	89540634	FA
4237418	89546684	B
682586	89577216	FA
137707	89668749	B
457096	89681706	FA
55904	89707955	FA
6419809	89720060	FA
1114005	89745456	FA
424878	89757281	FA
40606	89772633	FA
1282064	89795456	Stub
5303784	89835174	Stub
6918478	89835297	FA
5687361	89861386	FA
8096620	89886075	Start
158088	89921684	FA
2394782	89945460	Stub
301873	89957130	B
5276857	89983686	Stub
1739705	90010080	Start
8118946	90088361	Start
7823656	90145187	Start
4939240	90154362	B
4939206	90154373	B
70961	90169842	B
7599365	90186664	Stub
842480	90204718	Stub
16383	90264666	GA
4909834	90269936	FA
3564576	90292801	GA
2474634	90343596	FA
11772	90358445	FA
2360682	90394503	Stub
2965316	90398301	Start
3651375	90432849	Stub
4465244	90505603	Stub
9767	90523353	B
2220553	90544423	FA
629882	90569850	B
900554	90582144	FA
2311930	90682963	B
179071	90750337	B
7517723	90769737	B
2792564	90770859	B
1874619	90799392	B
3260668	90821630	Stub
5876878	90838856	FA
38413	90919860	B
1795706	90924614	B
8182826	90926718	Stub
12231	90992346	B
5399	91012397	B
4693438	91062893	Stub
3153344	91103114	GA
1717429	91150992	GA
8179419	91198209	Start
21285632	91236618	B
851589	91258562	Stub
214550	91312222	B
7522922	91322368	Stub
147429	91347580	FA
61188	91452255	FA
58168	91484462	B
4792266	91509337	B
5347327	91521554	Start
214495	91536903	B
6884590	91554484	FA
3988195	91560513	Stub
788698	91579788	B
2631749	91613699	Start
3649431	91621007	FA
6070500	91632753	FA
652500	91679252	FA
6358852	91693501	Stub
19590	91703618	FA
5076789	91728009	GA
8010000	91734029	B
1569045	91750391	FA
3246772	91771618	Stub
418205	91813330	Stub
336350	91849629	Stub
961297	91849676	Stub
1633430	91861187	B
15051	91861377	B
3602288	91935626	Stub
2291616	91937946	Stub
30388	92006138	FA
52686	92083446	B
853859	92086861	B
8271567	92107180	Stub
266982	92108921	GA
19283913	92177545	B
9658	92194623	B
23269	92221753	B
1859446	92245288	FA
5859516	92268696	Stub
839656	92312060	B
70159	92360563	B
4535485	92390331	GA
3037587	92445127	Stub
630822	92556215	B
953369	92594427	B
6327370	92649559	Start
7783429	92655292	Stub
4349420	92657705	FA
3064671	92657914	B
1675514	92662057	Stub
2843559	92664379	B
5535324	92689323	FA
150291	92692252	B
3156777	92759665	Stub
8276793	92765987	Stub
67088	92845267	B
8302893	92856752	B
6236988	92883520	FA
8336681	92997322	Stub
3610285	93023994	B
2814371	93181839	Start
58296	93186389	FA
937055	93243316	Stub
14197	93296964	B
179593	93301408	B
125108	93303297	B
2187649	93304888	FA
972609	93368458	B
945938	93375079	B
4396940	93409663	FA
7515285	93420863	B
3857987	93431434	Stub
66331	93454462	FA
978121	93493398	Stub
22310	93576094	Start
1879108	93597606	GA
402926	93609786	Start
3375153	93619857	B
8387450	93627262	B
5362277	93633008	Stub
3024360	93659015	B
403520	93677902	B
21875	93679061	B
18053	93690313	FA
7498320	93769616	FA
64219	93798570	B
7720686	93837283	GA
8198998	93870653	FA
230916	93885153	FA
2021016	93889380	Start
5599048	93896383	Start
670269	93913838	B
851923	94063167	Stub
10402000	94070748	B
4517071	94074215	Stub
3490358	94079295	Start
60886	94130872	B
3128219	94234599	B
5426626	94256646	B
4863528	94312418	Stub
22684	94372514	Start
2306561	94377380	Start
4996	94402120	FA
3724531	94484809	Start
8441765	94512522	Start
1166376	94546034	Stub
16486	94569675	B
182534	94572446	B
4422313	94603321	FA
1890088	94605112	Start
4044516	94620730	B
7535023	94696431	B
3272749	94697803	B
3384137	94798306	B
256662	94829185	B
597142	94951728	B
351083	94955740	B
28361417	94974698	B
4128018	95008984	GA
4359398	95050179	Start
242416	95058072	B
2071370	95059494	Stub
2832874	95081837	B
5054719	95092484	Start
141924	95124953	B
86546	95133646	GA
160660	95138089	B
192450	95141959	B
17724	95254032	Start
42957	95274510	B
6168818	95276740	Stub
3953131	95280704	GA
77528	95301663	Start
175765	95325656	B
8457871	95358715	Stub
7438179	95405160	Stub
8414229	95408936	Stub
2047015	95410131	FA
5629557	95420887	FA
7102258	95428378	B
1323495	95445703	Start
6235	95551261	FA
8470700	95565939	Stub
8406665	95566286	Stub
8504422	95578128	Stub
1597259	95602993	Start
32164	95616195	B
4912886	95630796	B
146410	95652532	Start
866993	95727356	B
1015400	95728883	Start
8025730	95775173	Stub
4081777	95778887	Start
2526125	95783168	Start
1894582	95790188	B
2911	95796685	B
2050152	95879750	Stub
