pageid,revid,user_rating,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,readability_consensus,infonoisescore,logcontentlength,logreferences,logpagelinks,numimageslength,num_citetemplates,lognoncitetemplates,num_categories,hasinfobox,lvl2headings,lvl3heading
1855140,49624117,B,58.62,10.3,11.2,12.53,13.3,8.43,276,11.5,10.4,12th and 13th grade,0.39561366512020246,12.676397887044763,0.0,5.169925001442312,0.00014058765640376775,0,0.0,3,False,5,0
118372,49778471,FA,52.19,10.7,14.6,17.69,16.5,8.54,1353,20.5,9.6,9th and 10th grade,0.409256617530512,14.955286645524469,0.0,7.392317422778761,0.00018492101231045596,0,6.870364719583405,5,True,7,15
3101584,50497448,Stub,41.36,10.7,14.6,25.74,20.9,11.21,61,11.5,7.2,10th and 11th grade,0.5894378194207837,9.273795599214266,0.0,4.523561956057013,0.0,0,2.584962500721156,3,False,0,0
3829213,50589338,Start,53.55,12.3,14.6,19.5,21.3,9.87,337,54.5,12.4,9th and 10th grade,0.45842926579687904,12.532112370795,0.0,6.6865005271832185,0.0,0,1.0,1,True,3,2
745960,50655700,FA,39.67,13.4,15.9,20.48,21.0,8.63,1062,23.5,11.2,20th and 21th grade,0.44041753910580117,14.711613204858121,5.584962500721157,7.022367813028454,0.0001539598472718315,0,3.0,2,True,8,11
2006696,50666457,Stub,30.87,12.7,14.6,29.93,24.9,11.47,35,9.0,8.0,29th and 30th grade,0.5568022440392707,8.658211482751796,0.0,3.4594316186372978,0.0,0,2.321928094887362,1,False,1,0
1151533,50751665,Stub,27.15,16.2,18.2,22.34,24.4,10.27,65,13.5,12.8,12th and 13th grade,0.45266666666666666,10.205793249397157,0.0,4.247927513443585,0.0,0,2.584962500721156,3,False,1,0
1775924,50810399,FA,54.22,9.9,13.0,15.37,14.1,8.15,1946,14.5,8.8,14th and 15th grade,0.5894078876670129,14.967001045354076,0.0,8.751544059089097,0.00044775584769137086,0,4.0,3,False,10,15
61075,51180276,FA,33.24,13.8,15.9,19.26,19.2,8.59,845,5.0,10.4,19th and 20th grade,0.4218349358974359,14.367141694552364,5.169925001442312,6.442943495848729,8.012820512820513e-05,0,1.5849625007211563,3,True,8,0
51499,51374938,FA,51.18,11.1,13.0,16.07,16.1,8.26,1255,14.0,10.0,9th and 10th grade,0.4001581545005862,14.958869855988015,4.954196310386876,7.714245517666122,0.0002726801734245903,0,3.5849625007211565,1,True,10,10
867154,51382608,B,59.64,9.9,13.0,14.97,14.9,8.44,338,11.0,10.0,9th and 10th grade,0.43685187206636833,12.915692682615404,0.0,5.857980995127572,0.0005457919441109049,3,1.5849625007211563,5,False,7,0
106130,51814199,FA,49.15,11.9,14.6,14.62,15.5,8.53,1061,11.0,10.8,10th and 11th grade,0.3850925147182507,14.66799853567253,0.0,8.08746284125034,0.00021026072329688813,0,1.5849625007211563,3,False,13,0
905639,51832388,FA,36.63,14.6,17.1,18.57,20.6,9.28,1277,19.5,12.4,20th and 21th grade,0.4092706369000547,14.741677644945858,5.523561956057013,8.05528243550119,0.0003345702293326845,0,1.5849625007211563,10,True,7,10
157814,51998547,FA,37.64,14.2,15.9,17.53,19.6,8.69,1447,18.5,12.0,11th and 12th grade,0.450691730404968,15.031787341501465,5.584962500721157,7.599912842187128,9.590716186731244e-05,6,3.1699250014423126,2,True,9,7
4765408,52255855,Stub,57.27,8.8,11.2,16.93,14.2,9.0,13,7.0,7.6,8th and 9th grade,0.4854368932038835,7.7615512324444795,0.0,2.0,0.0,0,1.0,0,False,0,0
1603455,52381484,Stub,21.4,14.3,14.6,24.24,20.5,12.89,60,11.0,8.4,14th and 15th grade,0.4469945355191257,9.4093909361377,0.0,4.0,0.0,0,1.5849625007211563,2,False,0,0
315856,52440227,Start,37.3,12.3,14.6,22.56,19.9,11.47,163,9.0,8.8,8th and 9th grade,0.4051903114186851,11.091435386323607,0.0,5.169925001442312,0.0,1,3.5849625007211565,1,False,8,0
23037,52547382,FA,49.15,11.9,14.6,18.51,18.7,9.25,1010,14.5,10.8,18th and 19th grade,0.38692381562099876,14.369801795374306,2.321928094887362,8.271463027904375,0.00016005121638924455,0,2.0,6,False,7,9
225763,52677509,B,71.48,9.5,13.0,12.48,15.2,7.33,249,7.0,12.0,6th and 7th grade,0.3835630528697799,13.108034327661551,0.0,6.189824558880018,0.0,0,0.0,1,False,0,0
243011,52757229,B,42.72,12.3,14.6,17.06,16.7,9.77,628,13.5,10.0,9th and 10th grade,0.35864661654135344,13.521968427237747,0.0,7.546894459887637,0.0,0,1.0,1,False,3,10
3565069,53198865,FA,18.35,15.4,15.9,24.89,22.4,9.11,304,7.5,9.6,15th and 16th grade,0.581073349353473,12.361943773735241,3.700439718141092,6.10852445677817,0.00011442956860052638,6,2.584962500721156,3,True,5,0
44833,53340381,FA,40.69,13.1,14.6,15.55,16.4,8.66,1619,13.5,10.8,15th and 16th grade,0.4043732389446476,15.236612200215752,4.392317422778761,7.643856189774724,0.00027944018815639335,4,2.807354922057604,5,True,12,14
2084583,53340626,FA,37.64,14.2,15.9,18.11,19.6,8.6,569,15.0,12.0,14th and 15th grade,0.5502701432933992,13.577074720026388,3.5849625007211565,6.6293566200796095,0.00011745360582569885,10,1.5849625007211563,4,True,7,2
3380026,53554020,Stub,17.34,15.8,18.2,25.7,23.8,11.37,44,11.0,10.0,10th and 11th grade,0.45507584597432904,9.337621901992508,0.0,4.0,0.0,0,1.0,4,False,0,0
1044456,53602343,FA,51.18,11.1,14.6,16.82,16.6,7.86,637,5.0,10.0,16th and 17th grade,0.4246096481006758,14.158057369835001,0.0,7.03342300153745,0.00023304591004427873,1,2.321928094887362,3,True,7,0
1547959,53638438,Stub,55.58,11.5,17.1,24.08,23.9,8.99,19,12.0,11.6,11th and 12th grade,0.675392670157068,7.876516946565,0.0,3.4594316186372978,0.0,0,2.321928094887362,1,False,0,0
1856477,53656746,B,50.16,11.5,14.6,16.01,16.6,8.79,400,8.0,10.4,16th and 17th grade,0.36577571179546775,13.198751965193738,0.0,6.491853096329675,9.68429207824908e-05,0,1.0,4,False,4,0
3547560,53814160,FA,61.67,9.1,13.0,17.4,16.1,8.44,548,11.5,9.2,8th and 9th grade,0.41263458295498767,13.669549463455496,0.0,7.219168520462162,6.485925541574782e-05,0,5.930737337562887,4,False,6,2
1272047,53902948,B,47.79,10.3,13.0,17.16,14.6,9.73,282,6.5,8.0,9th and 10th grade,0.4106379339832392,12.285691191330095,0.0,5.491853096329675,0.000513083632632119,0,1.0,3,False,4,0
1024510,54104926,FA,49.15,11.9,14.6,16.19,16.9,9.08,644,5.5,10.8,16th and 17th grade,0.4124585564906912,13.733968609439012,0.0,7.199672344836364,0.00038255547054322876,0,2.0,4,False,5,0
752301,54301492,B,51.18,11.1,14.6,16.65,16.4,8.47,784,7.5,10.0,16th and 17th grade,0.35663286188548815,14.268688192228192,0.0,7.294620748891627,0.0,0,2.584962500721156,4,False,6,6
37782,54350087,FA,41.7,12.7,14.6,17.46,17.6,8.8,1501,14.0,10.4,17th and 18th grade,0.37368932280640577,15.131575659086025,4.08746284125034,7.832890014164742,0.00027396577918358195,0,2.321928094887362,14,False,13,0
4777041,54364396,Start,37.64,14.2,15.9,17.87,19.4,10.05,205,20.5,12.0,11th and 12th grade,0.47786189493002984,11.77807712953536,0.0,5.882643049361842,0.0,0,1.0,2,True,4,0
824265,54575351,FA,43.73,11.9,14.6,19.43,18.3,9.83,785,11.5,9.6,11th and 12th grade,0.3827017645357246,13.804534402995227,0.0,7.45121111183233,0.000404975412207116,0,2.321928094887362,8,True,5,5
66432,54660185,B,20.38,14.6,15.9,22.27,19.7,10.08,538,7.5,8.8,19th and 20th grade,0.3487864281515075,13.390975006155536,2.0,6.845490050944376,0.0002519526329050139,0,1.0,1,False,7,4
5138507,54778732,Stub,30.2,15.0,18.2,27.56,26.9,10.86,65,16.0,11.6,11th and 12th grade,0.7069857697283312,9.413627929024173,0.0,3.9068905956085187,0.0,0,2.807354922057604,2,True,1,0
1594800,55035357,Start,31.21,14.6,17.1,24.14,23.5,12.25,98,26.0,11.2,23th and 24th grade,0.6279904306220095,9.722807531169547,0.0,4.857980995127573,0.0,0,1.5849625007211563,2,True,1,0
5229111,55311015,Start,77.23,5.2,8.8,13.03,9.8,8.13,71,7.0,6.4,6th and 7th grade,0.44245385450597174,10.648357582009666,0.0,3.3219280948873626,0.0,0,0.0,0,False,2,0
115331,55345862,Start,70.8,5.6,8.8,13.95,9.9,7.57,78,4.5,5.6,5th and 6th grade,0.3965076660988075,10.94909715572921,0.0,4.08746284125034,0.00042589437819420784,0,2.321928094887362,2,False,3,0
4128287,55381782,Stub,11.92,15.8,17.1,31.26,27.1,11.37,62,7.0,8.8,15th and 16th grade,0.5158610271903323,9.620219825507487,0.0,3.8073549220576037,0.0,0,1.0,5,False,1,0
2421489,55472646,B,60.65,9.5,13.0,14.74,14.4,8.47,193,11.0,9.6,9th and 10th grade,0.43090551181102366,12.054604317960672,0.0,5.807354922057605,0.000984251968503937,0,1.5849625007211563,2,False,1,6
120236,55490243,Start,80.28,4.1,8.8,11.68,7.9,7.39,76,5.5,5.2,5th and 6th grade,0.3754448398576512,10.923327485419193,0.0,4.169925001442312,0.0,0,0.0,2,False,2,0
122138,55508332,Start,71.82,5.2,8.8,12.55,8.7,7.69,79,6.0,5.2,8th and 9th grade,0.39954545454545454,10.852529509404196,0.0,4.321928094887363,0.0,0,0.0,2,False,2,0
5134829,55585751,B,51.18,11.1,14.6,19.61,18.5,10.21,99,7.5,10.0,9th and 10th grade,0.31857976653696496,10.832098846039134,2.321928094887362,3.9068905956085187,0.0,0,0.0,1,False,2,0
171080,55587219,FA,30.2,15.0,15.9,19.56,20.3,8.45,2664,8.0,11.6,19th and 20th grade,0.4552830364636762,15.98355033755458,6.857980995127572,9.144658242831882,0.00013988622586962604,40,6.459431618637298,2,False,13,14
119605,55598186,Start,79.26,4.4,8.8,11.8,8.2,7.48,78,5.5,5.6,5th and 6th grade,0.3810563072893933,10.939579214314694,0.0,4.247927513443585,0.0,0,0.0,2,False,2,0
8082,55650329,FA,43.73,11.9,14.6,18.56,17.3,8.41,2338,10.5,9.6,10th and 11th grade,0.3788076210331248,15.899781737837861,0.0,8.700439718141093,0.00020268705119295808,0,4.169925001442312,5,False,8,30
3290060,55660138,FA,35.27,13.1,14.6,23.78,21.8,9.08,800,9.0,9.6,9th and 10th grade,0.5061870249248719,13.90876788284919,4.643856189774724,7.098032082960527,0.00017677214071062401,16,3.8073549220576037,2,False,7,3
4769325,55909982,Start,48.81,9.9,13.0,20.41,16.7,10.78,98,8.0,7.6,7th and 8th grade,0.3173553719008264,10.61470984411521,0.0,4.0,0.0,0,1.0,3,False,4,1
679074,55943754,FA,45.09,13.4,15.9,15.96,18.4,9.05,952,10.5,12.4,15th and 16th grade,0.40272686081476294,14.411577189459411,0.0,7.303780748177103,0.00016476500391316885,0,3.8073549220576037,2,False,7,0
4760195,55986806,Stub,4.82,18.6,18.2,24.54,24.4,12.31,46,13.0,11.6,12th and 13th grade,0.35532994923857864,9.396604781181859,0.0,3.0,0.0,0,1.5849625007211563,3,False,0,0
7227,56128907,FA,50.16,11.5,14.6,17.11,17.0,8.82,702,6.5,10.4,16th and 17th grade,0.399211833297344,13.976027040189834,0.0,7.066089190457772,0.0002699201036493198,0,2.0,1,False,10,5
3309927,56136952,Stub,57.27,8.8,13.0,14.61,12.0,9.78,39,5.0,7.6,9th and 10th grade,0.3297442799461642,9.428360172704291,0.0,2.321928094887362,0.0,0,1.0,0,False,0,0
216855,56300891,FA,47.12,12.7,15.9,16.71,18.2,9.21,1208,10.5,11.6,10th and 11th grade,0.3757888697647733,14.706657891277729,3.9068905956085187,6.768184324776926,0.00020249063480814013,0,1.0,3,False,6,5
900511,56497834,GA,22.41,13.9,14.6,28.3,23.6,8.89,521,11.5,8.0,23th and 24th grade,0.6130864197530864,13.075312006460443,5.247927513443585,6.426264754702098,0.00018518518518518518,24,2.584962500721156,4,True,8,2
4508471,56531697,Stub,13.28,17.4,17.1,26.11,25.6,12.2,56,10.5,11.6,25th and 26th grade,0.8558736426456071,7.569855608330948,0.0,3.1699250014423126,0.0,1,1.5849625007211563,2,True,1,0
4701911,56532927,Stub,11.92,15.8,15.9,26.79,23.5,12.26,70,7.5,8.8,15th and 16th grade,0.760586319218241,8.67595703294175,0.0,3.5849625007211565,0.0,1,1.5849625007211563,3,True,1,0
2654753,56540100,B,44.75,11.5,14.6,15.49,14.5,8.81,386,11.0,9.2,14th and 15th grade,0.3141188959660297,13.156557153199971,0.0,4.700439718141093,0.0,0,0.0,3,False,4,0
889116,56690067,FA,41.7,12.7,14.6,17.11,17.2,8.59,1031,12.0,10.4,17th and 18th grade,0.4877252682384805,14.466331422082767,3.9068905956085187,7.375039431346925,0.0002777874231744158,13,3.9068905956085187,5,True,8,4
3216203,56742350,FA,18.35,15.4,15.9,27.9,24.8,9.82,585,17.5,9.6,9th and 10th grade,0.5705878548793895,13.112928141855111,5.20945336562895,7.044394119358453,0.00012934100756644895,16,2.584962500721156,7,True,6,2
21302,56823632,FA,36.28,12.7,14.6,22.86,20.5,9.45,1286,15.0,9.2,14th and 15th grade,0.3938503001347544,14.686609950751922,5.459431618637297,7.924812503605781,0.0002756339581036384,0,4.08746284125034,7,False,11,0
44883,56846831,FA,41.7,12.7,14.6,16.88,17.2,8.03,1275,12.5,10.4,12th and 13th grade,0.3802793120914638,15.195218393762113,5.491853096329675,7.906890595608519,0.00024120215152319158,0,2.0,1,False,10,12
3359077,56966635,B,45.76,11.1,13.0,17.8,15.8,10.38,102,11.0,8.8,10th and 11th grade,0.4249482401656315,10.642051692927977,0.0,4.459431618637297,0.0,0,0.0,3,False,2,0
15600,57142417,FA,51.18,11.1,13.0,16.82,16.5,8.97,1414,10.5,10.0,16th and 17th grade,0.40884699469066754,14.882738563615302,0.0,8.092757140919852,8.517645722722239e-05,0,3.0,7,True,6,3
50603,57210336,FA,37.3,12.3,14.6,19.6,17.7,8.8,2196,14.0,8.8,8th and 9th grade,0.38610401827711327,15.640188438599779,5.459431618637297,8.531381460516313,3.3597634726515254e-05,11,2.321928094887362,2,False,13,11
3565644,57252044,GA,19.37,15.0,15.9,28.08,24.8,9.05,281,27.5,9.2,27th and 28th grade,0.6013677987712994,12.287423811683524,3.9068905956085187,5.754887502163469,0.0002318303002202388,9,2.321928094887362,4,True,6,0
31392,57296587,FA,44.75,11.5,14.6,19.03,17.3,9.22,846,12.5,9.2,14th and 15th grade,0.41642044078469365,14.047464773318419,5.044394119358453,6.6865005271832185,0.00019375151368370065,0,3.0,2,False,9,1
441606,57353793,B,56.59,11.1,14.6,13.93,15.4,8.6,341,9.0,11.2,8th and 9th grade,0.38124156545209176,13.063226532302876,0.0,4.584962500721157,0.00011246063877642825,0,0.0,3,False,8,5
60112,57454429,FA,45.76,11.1,14.6,18.33,16.5,8.24,1485,14.5,8.8,14th and 15th grade,0.41007400229054713,15.15991074552338,5.930737337562887,7.467605550082998,0.00022024491234252488,11,2.807354922057604,7,True,11,10
328397,57465783,Start,46.78,10.7,13.0,15.95,13.9,9.14,77,6.0,8.4,10th and 11th grade,0.39862148190695,10.592457037268082,0.0,3.700439718141092,0.0,0,2.0,1,False,1,0
2604100,57534222,Start,52.19,10.7,14.6,17.35,16.4,9.48,121,6.0,9.6,9th and 10th grade,0.4265682656826568,11.093417564387961,0.0,4.954196310386876,0.0,0,0.0,2,False,1,0
52759,57543925,FA,32.22,14.2,15.9,21.24,20.9,8.92,1635,7.0,10.8,20th and 21th grade,0.5182522241897976,14.976877329653048,5.754887502163469,7.636624620543649,0.0003840327707964413,28,3.9068905956085187,4,True,7,9
4896496,57593305,FA,32.22,14.2,15.9,23.04,22.3,9.05,904,7.0,10.8,22th and 23th grade,0.4668253724466288,14.263195831184003,5.754887502163469,7.679480099505446,0.00011518967900476117,0,2.584962500721156,4,False,10,0
1414673,57652849,Stub,40.69,13.1,17.1,21.59,21.3,10.41,41,14.0,10.8,10th and 11th grade,0.4907834101382489,9.357552004618084,0.0,3.8073549220576037,0.0,0,1.0,1,False,0,0
947219,57703707,FA,47.79,10.3,13.0,18.38,15.7,8.83,1150,17.0,8.0,16th and 17th grade,0.3821682140906608,14.540006920751287,5.832890014164742,7.754887502163469,0.00017067176406335336,0,2.807354922057604,19,True,9,0
112677,57752207,Start,67.76,6.8,11.2,14.08,10.8,7.93,225,6.0,6.8,6th and 7th grade,0.3816271294379876,12.414949441474263,0.0,5.977279923499917,0.0,0,2.321928094887362,2,False,5,3
5509553,57953018,Stub,-155.59,36.7,13.0,88.69,70.5,13.31,13,3.5,4.8,12th and 13th grade,0.6876456876456876,7.321928094887362,0.0,1.0,0.0,1,2.0,1,False,2,0
165824,58002702,FA,50.16,11.5,13.0,15.26,15.9,8.19,1307,9.0,10.4,15th and 16th grade,0.3700551859301666,15.054985798296304,4.459431618637297,7.238404739325079,0.00028366599618340297,0,3.1699250014423126,0,True,7,8
1584018,58113063,Start,26.81,14.2,15.9,22.28,20.4,11.29,99,13.5,9.6,13th and 14th grade,0.5837506956037841,10.084808387804362,0.0,4.321928094887363,0.0,0,1.5849625007211563,3,True,1,0
1136575,58114692,FA,31.21,14.6,17.1,22.46,22.6,8.96,463,11.0,11.2,22th and 23th grade,0.5125311446577752,13.164435586064617,4.459431618637297,6.6582114827517955,7.328154770628756e-05,6,2.584962500721156,6,True,6,0
349496,58302786,FA,59.64,9.9,13.0,15.61,15.3,8.9,566,12.0,10.0,9th and 10th grade,0.40627473555443616,13.544360769430128,0.0,6.870364719583405,0.00021587392962509893,0,1.5849625007211563,6,False,10,0
4683646,58459736,GA,52.19,10.7,13.0,19.38,18.1,8.71,403,18.0,9.6,17th and 18th grade,0.5502636203866432,12.856620053676847,4.321928094887363,5.392317422778761,0.0004393673110720562,8,1.0,4,False,3,0
1642929,58463989,B,44.07,13.8,15.9,17.47,20.3,8.66,398,6.0,12.8,15th and 16th grade,0.3641437632135307,13.39110930404168,0.0,6.906890595608519,8.456659619450317e-05,0,0.0,2,False,3,2
1213767,58560625,Start,43.73,11.9,14.6,19.55,18.2,10.25,70,7.0,9.6,9th and 10th grade,0.3679775280898876,10.247927513443587,0.0,3.1699250014423126,0.0007022471910112359,0,1.5849625007211563,5,False,1,0
4706508,58571722,B,47.12,12.7,15.9,20.66,21.2,9.53,230,16.5,11.6,20th and 21th grade,0.4753278122843341,12.074810461160455,0.0,6.022367813028454,0.0001725327812284334,0,1.0,2,True,6,0
4925,58577720,FA,43.73,11.9,13.0,18.27,16.9,8.72,1016,14.5,9.6,16th and 17th grade,0.4990425954694895,14.298492218302695,4.459431618637297,7.209453365628949,0.00025289930994616856,12,3.9068905956085187,2,False,4,6
890593,58694557,Start,61.67,9.1,13.0,15.14,14.3,8.46,201,13.5,9.2,8th and 9th grade,0.3430821147356581,12.246146774635864,0.0,5.392317422778761,0.0,0,0.0,4,False,2,6
3746,58795323,FA,51.18,11.1,14.6,18.22,17.8,8.88,2136,6.5,10.0,17th and 18th grade,0.40546133031498155,15.52058798981457,4.754887502163469,8.78135971352466,0.00012379958615566913,0,3.8073549220576037,9,True,17,4
4774392,58834251,Stub,25.8,14.6,15.9,23.03,21.4,11.66,45,11.0,10.0,15th and 16th grade,0.41939546599496225,9.266786540694902,0.0,4.0,0.0,0,2.0,2,False,0,0
2307224,58907989,Stub,62.68,8.7,11.2,16.18,14.6,9.67,119,9.0,8.8,8th and 9th grade,0.5404,10.675074920385445,0.0,4.584962500721157,0.0,0,2.0,3,True,3,0
